sentence,label
knowledgeable subject lectures fun ive learned many things also respond students quickly,1
01 positive mindset 02 good communicator,1
advance po magsend link asynchronous great kasi po di need manghingi links representative,1
strengths instructor teaching course dynamic enthusiasm personal interest students desire teach also manages time effectively,1
interactive affable personality,1
well confident discussion evident knows well discussing us providing real life scenario examples relates discussion instructor engaging enthusiastic synchronous sessions,1
whole semester great direct waste time great,1
one teachers student learn good teaching clear explanation topics discusses also fun students happy engage learn,1
manage professor companion time makes students listen carefully,1
classes always lively interactive,1
hes giving us exact word need remember comes understanding lesson,1
prof also one best teaching matter short discussion leave us enough clear explanations regarding also funny makes whole class boring exciting additionally also considerate students want make missed quizzes exams,1
good teaching every lessons best,1
think knowledge,1
always bring back past lesson able us understand lesson,1
knows get students attention,1
good teaching us always ask classmate done activities hes responsible teacher,1
elaboration ideas amazing,1
instructor good sense humor listens addresses concerns,1
tries teach lessons taught us,1
good teaching subject,1
well spoken explantion topi,1
time,1
explaining topic well,1
madaling makausap nakakapag bigay consideration lalo working students,1
creative instructor understandable kind,1
instructor fun knowledgeable,1
understand lesson well,1
understanding students shows mastery subject,1
relationship students masayang magturo,1
always explains everything able us clearly understand subject,1
good teaching,1
kind students shows mastery subject,1
instructor knowledgable course experienced meaning say everything share class making convincing,1
well presented good speaker virtous,1
01 positive mindset 02 good communicator,1
prof great teaching us course topics course something im always eager learn theories discussed great understanding things real life applied everyday life,1
always saw best full effort teach us give us knowledge,1
super bait maam gentle lang nagtuturo nakakagaan loob mas naeencourage makinig,1
delivery words always clear,1
great teacher lecture knowledgeable fun listen respond student quickly good personality,1
precise explanation good ideas certain topics,1
strength possess lots information shared class presented lots examples explanations makes students understand lesson make us relate lesson helped us lot terms learning,1
good teaching every lessons,1
outstanding background experience course,1
generous masayang magturo engaging kind,1
teacher accommodating lessons well explained,1
instructor good listener adaptable shows emphaty address concerns,1
giving us activities relate everyday lives,1
instructor provide informative lectures real life explanation examples related topic useful course another instructor give much information useful us,1
create bond students even virtually really considerate,1
creative instructor kind understandable knowledgeable,1
understand lesson well,1
professor knows teaches well open every opinion,1
knowledgeable,1
good explaining lessons many activities prepared student,1
caring kind,1
instructor well prepared good sharing experiences,1
fully aware well informed teaching giving examples every lesson apply real life,1
knows course well,1
strength sir knowledgeable person,1
explain clearly,1
hes good instructor definitely express ideas clearly knowledgeable enough course often class course know depressed really understand going,1
topics well explained sharing personal experiences connect students,1
provide great explanation,1
participants,1
hes good teaching,1
magaling mag turo talaga pinapaintindi samin yung naming gawin,1
instructor tries best connect students explain clearly,1
professional excellent job explaining lesson us without doubt effective teacher lessons always happy endings truly understand teaches us,1
clarity communication class,1
assessments every topic interesting,1
knowledgeable course,1
good communication enthusiasm creativity,1
engaging students every lessons every possible way,1
good explaining,1
interactive skills,1
maeffort still manage time teach,1
giving many examples topic,1
good communication,1
instructor always gives lot examples students fully understand lesson,1
make sure everyone participating without giving students pressure,1
connection students,1
knowledgeable enough course explained topic express ideas effectively,1
good explaining like teaching strategy,1
best good class like comes creativity brainy,1
good inputting knowledge mind,1
ayos naman magturomabait,1
professional excellent job explaining lesson us without doubt effective teacher lessons always happy endings truly understand teaches us,1
qualities good teacher include skills communication listening collaboration adaptability empathy patience,1
discuss lesson well,1
calm teaching didnt feel pressure lesson aware teaching giving examples subject really complicated many aspects like easy made lesson easy understand,1
teaching lessons well,1
sir always communication students regarding learned every topic also willing answer questions want ask,1
think strength z good teaching teaching friend,1
listen attentively,1
sir sincerely respects students conveys helping caring attitude,1
instructor tells us story avoid us getting bored,1
creative,1
strength sir active knowledgeable person class time wheen discuss tell example base experiences connection certain topics,1
always open us also never fails ask personal experiences connected topic,1
good teaching style,1
explains well,1
students listen carefully,1
knows teaching,1
hes good communicating student,1
sobrang cheerfull like teaching style,1
strengths encourage students continue study,1
passionate teaching aside see prof fun kind teacher,1
ability communicate clearly puts information clear understandable manner enjoy class,1
sobrang galing nya mag turo wala nakong masabing,1
lessons well explained instructor entertaining,1
mastery subject,1
instructor good making things clear subjects activities,1
make class interesting boring good explaining lesson,1
strength knowledge part sports anything related course teaches easily explain us properly,1
professional excellent job explaining lesson us without doubt effective teacher lessons always happy endings truly understand teaches us,1
active,1
nalilibang kame way pagtuturo nya po nawiwili kame makinig,1
qualities good teacher include skills communication listening collaboration adaptability empathy patience,1
hes quite knowledgeable course positive relationship students particularly discussionwhere conducts exceptionally well,1
sir kind teacher puts effort teach us properly good skills communication willing listen topics subject quite understand,1
say fit knowledgeable subject teaching us able show us experiences taht related topic becomes useful us students better understand topic,1
instructor touched students heart teaching,1
catch attention boring teach,1
good instructor way discuss lesson understandable,1
confidence aside see prof enjoying teaching,1
teach lesson well sharing experiences connected lessons,1
hes knowledgeable dynamic enthusiasm hes like comedian make sure class isnt boring,1
knowledgeable aware hes teaching always gave examples really helped us understand lesson considerate approachable made us feel really comfortable class tough times calm storm always,1
good teaching also consideration,1
instructor knows every detail given learning material best connect students,1
communication skills patience creativity,1
knows subject well make sure whole class stressful everyone make environment light every way,1
