sentence,label
wala naman po kasi nakakablend students,1
try something new makes students active participating class,0
performance consistent always outstanding,1
nothing improve,1
wish acceptable reason made class guess wearing red polo,0
think way present lesson pot,0
cant think teach us well,0
always make us happy teach us,1
sometimes concentrated girl student boy pays attention boys hes nice good teacher,1
nothing good teaching,1
kind needs little strict,1
need improvement,1
give activities related lesson,1
explaining topic slowly understandable,1
honestly course really interesting plus instructor approachable willing answer queries think least power emphasis speaks really love way deliver explanation sake learning would really love manages make us focused,1
nothing well good teaching us,1
cant think teach us well topics course,1
become comfortable give always give us ger beautiful smile,1
wala po overall good si maam sakin,1
might bit overworked class leaving us unprepared following subject overall shes nice knowledgeable teacher,1
think needs summarize lessons much hour rest satisfactory,1
give activities related lesson give info topic personal mean life lesson,0
nothing improve,1
need improvement,1
nothing,1
goods naman po,1
technique way present lesson effectively efficiently,1
giving learning materials time,1
expresses desire assist learners learning invests time effort getting know students needs,0
methods discussing lesson,1
encourage cooperative learning,0
attending class,0
encourage cooperative learning,0
use sound effects googlemeet every recitation use handsclap effects think useful enough boost confidence,1
improve loud voice teaching,0
supporting ideas example,0
lang makapag g meet,0
strong ability motivate inspire good initiative problem solving skills,1
uploading learning material used lessons,0
would comment anything subject good,1
early announcement online class,0
think nothing active also class,1
used students feedback learned topic,1
methods discussing lesson,0
think wala naman po kasi ganda nya mag turo,1
none hes already good everything,1
course contributes students academic personal growth,1
wala masabing iimprove kasi magaling sya,1
dont know else improve way teaches okay maybe little improvement powerpoints presents gives,1
strong ability motivate inspire good initiative problem solving skills,1
class discussion habit speaking quickly,0
sir give examples videos us know topics hes teaching,0
need improve ways teaching enough concern maybe synchronous class often help classmates less sync,1
think nothing class subject happy listening lecture,1
terms presenting ppt lesson technique learner easily adopt topic,1
think dont anything say really good example instructor,1
class least week,0
encourage cooperative learning,0
nothing improve,1
improve attending class,0
nothing discuss lesson well clear,1
lang siguro maimprove yung mabagal mag turo,0
methods discussing lesson,0
sometimes instructor gives learning materials instructional video attending class,1
wala naman po sakin,1
like instructors areas improvement presenting topic discussion providing lesson materials lms,0
encourages future learning praising successful performance,1
encourage cooperative learning,0
bagalan lang po konti pag papaliwanag naiintindihan naman po,1
encourage cooperative learning communication,0
use ppt presentation also white board terms solving certain problem really appreciate effort course,1
always prepared,0
improve communication skills fast talk sometimes understand well teaching fast hehehe peace sir,0
maybe say must practice way explaining topics time becomes repetitive explaining results slowing cant finish module also prevents us proceed another topic,0
lakasan lang po boses nagtuturo,0
wala masabi iimprove e,1
nothing discuss lesson easy cope lesson,1
hope examples understand better sometimes example like ones files,0
gives instructions confusing way,0
sometime instructor talksexplains fast unclear,0
dont know since havent met instructor,0
maam synchronous classes us get know give us prelim midterm finals examination,0
interaction students,0
dont know else improve since hasnt even taught us online class gave lessons quizzes,0
wala masabi iimprove e,1
instructor needs present class attend class,0
encourage cooperative learning,0
improve attending class,0
think maam jessa need meet us meet,0
say hoping able meet see teaches also get know better new ite instructor,0
dont know yet im still hoping met,0
sorry dont improve self subject,0
connection students,0
often classes course weve never met ever since first day finals really understand hes good discuss lesson clearly understandable,1
sometime present,0
time teaching,0
goods naman po,1
encourage cooperative learning,0
lang mag gmeet di ganon kilala,0
scary sometimes like approachable look,0
interactions students,0
nothing,1
improve attending class,0
improve teaching,0
think areas improvement ability,1
explaining meaning weve discuss goods,1
encourage cooperative learning,0
nothing active class easy cope lesson,1
think alright,1
wala masabi esiguro yung mabagal lang mag turo,1
terms presentation sometimes presentation module exactly didnt make powerpoint us understand lesson easily sometimes,0
none say anything,1
strong ability motivate inspire good initiative problem solving skills,1
slow teaching,0
way discuss lesson,0
terms presenting lecture way discuss topic providing lesson materials every lecture,0
engagement students class,0
time management really want watchlisten live discussion,0
follow schedule given unwise hold class night wherein could rest students school works household duties,0
discussing lesson late time thats needs improve,0
hope teach time,0
follow allotted time teach good go live middle night discuss lecture use lms instead google classroom,0
thing needs improve class hours teaching us subject believe healthy discussion ever lot time us,0
method discussing lesson,0
lang syang matagal mag turo,0
think none shes really great,1
konting pang pasigla lang po maam po inaantok baka po sakin goods naman po,1
recognizes class confused,1
presenting discuss lesson effective way teaching understandable considerate situation learners,1
encourage cooperative learning,0
teaching strategy terms teaching sometimes feel sleepy,0
nothing explain need know subject,1
difficult reaching whenever concern regarding activities gives,0
focus student understand easily topic,1
nothing say far,1
theres could suggest teaches well hes also kind approachable students wouldnt feel intimidated,1
takes three hours complete class students engaged middle talk throughout online meeting instructor find way keep students engaged,1
need communicate student teach us,0
need communicate us,0
nothing good job,1
theres nothing could recommend,1
nothing say far,1
elaborate lesson easily understand students,1
need let us know things need know moreover doesnt need pressure students much also understand us,0
needs improve quizzesassessment questions couldnt able answer anyone example question would like 200 identification form even related topic also needs consistent giving instructions done would change instruction making efforts go waste also approachable students concerns shouldnt mad also consider lms technical thats answers right lms marked wrong,0
think avoid full identification quiz lms affects score students since lms sensitive students answer,0
hope room correct answers quizzes exams another thing proper instructions prior technicalities questions exams also hope next time activities indicated classes hours especially sundays,0
sometimes instruction quite confusing,0
instructor create quizzes assessments related topics covered lesson,1
open time beyond given time learners questions,0
time uploading activities hope next time activities midterm would uploaded simultaneously midterm finish,0
instructor needs conduct class frequently students wouldnt shocked lots activities uploaded lms theres also redundancy activities,0
instructor needs teach students give activity without teaching moreover need communicate us well wont get lost,0
needs avoid skipping synchronous class,0
rarely meet online class provide time meet discuss lesson,0
although instructor establishes communication students every class think would better asks students opinion throughout lesson students wouldnt bored listening instructor also learnercentered,0
online classes instructor usually one speaks students speak called upon familiar subject believe teacherstudent interaction improved class instructor figure get students participate class,0
nothing say far,1
provide extra effort meet students online class enough time discuss lessons properly,0
avoid giving exams late,0
needs improve skill communicating students well good needs open student moreover need tone expectations towards students perfect learning,0
visual aids show student visual learners,0
available answer question learners,0
like way taught us shes good teacher easy understand,1
sometimes instruction gives clear,1
theres nothing could suggest shes good,1
depth discussion topics,0
improve digital skills wouldnt confused take exam,0
needs communicate students,0
nothing good job,1
think sometimes avoid giving mush deductions activities especially font papers since hard follow given fonts cell phone edit works rather rely scores content activity,0
nothing far,1
focus studentlearner understand topic,0
instructor good activities easy aside major activity hard students talent draw general good instructor,1
dont see anything could improved class always interesting students participated every activity instructor also approachable patient,1
nothing far,1
dont see anything could improved everything went smoothly class topic always interesting students always engaged instructor approachable considerate,1
teach us,0
think improvement could recommend since teaches well,1
focus student easily understand topic,0
nothing good job,1
think nothing improve work properly,1
perfect,1
couldnt think recommendations shes already good,1
need communicate us also teach us often,0
discussion,0
nothing job well,1
comments really like fact checked us start class thank much maam understanding making class comfortable really appreciate,1
late discussion like example midterms lesson prelims understand,0
needs give consideration students didnt pass sometimes activities due minor problems internet also irregular students,0
lessen activities hope give us feedback work,0
feedback time management,0
ares improvement instructor time online class discussion activities gave students,0
focus learner easily understand topic lesson,0
instructor held online classes times semester little interaction students,0
think needs least attend online class sometimes given tasks tasks,0
need teach us,0
time discussions,0
needs attend synchronous class attended class never saw familiar hard reach concern,0
type exam,0
keep going approachable considerate students,1
gave much activity 3 working days works still checking,0
refrain giving group activities given grade refrain giving activities deadline three days please give us complete copy lesson topic also included exam us gadget data connection attend online class,0
need memorize contents lesson word word need find whether true false analysis statements type type exam sensitive change word make statement wrong final examination assessments,0
type exams quizzes huhuhuhuhuhuhuhu,0
didnt notice anything improve way teaching,1
keep going compassionate students,1
actually great every aspect,1
refrain mixing political views parts lessons dont mind inconsiderate unwise others,0
high standards,0
always busy course easy find difficult understand,0
think time management,0
time please,0
refrain saying already know us students research type shs shs teacher teaches like,0
teach lessons synchronous class instead giving us recorded videos,0
didnt see anything improved way teaching find discussion interactive,1
consideration students request extension deadline,0
classes selfstudy leaving us videos watch,0
keep going patient considerate students,1
stable wifi maam huhu,0
dont raise voice students know answer,0
subject hard easy find difficult understand always busy,0
time please,0
give activities seatwork videos containing different examples solutions discussion,0
patient approachable students,0
still needs help students proving guess,0
please dont raise voice students dont know answer,0
think time management,0
didnt see anything improve way teaching maybe meet fewer classmates im working student sometimes failed attend class im present class see goodness way educating us,1
healthy nalang po hehe kasi lots students like us need future,1
keep going compassionate students showing care,1
need attend synchronous classes,0
give time students,0
passion teaching,0
please attend class,0
pls attend class,0
met twice synchronous class,0
active magreply concerns students iupdate students klase ba wala tuloy exam exam hes okay po magturo,0
also need regular classes understand circumstances came unexpectedly also need learn professor guide,0
think time management,0
ilessen po siguro ynng mataas standard student lagi po kse lagi nagsasabe alam niyo yan sobrang bilis po magturo,0
needs slow bit teaching lesson,0
give time students,0
expect students already know teaching,0
stop saying review review lang napagaralan niyo nung 2nd yrlast yr modular learning mode didnt teacher guide us tell us understand topic right wrong modules isnt back us yet please give seatwork try videos containing different examples solutions module student monitor,0
always busy,0
see deliver lesson times hury discussing lesson beause important matters excellent educator,1
assume students didnt know cant satisfied expectation subject matter,0
little bit slow talking,0
always angry impatient strict considerate things like technical problems felt afraid class every time accepting answers,0
always angry hehe,0
mahabang pasensya considerate ding malaman mahalaga mental health nagkaanxiety sakin,0
wala pong consideration lagi pong galit klase wala naman po parang galaw mali,0
sana susunod tuturuan laging galit naman po kasalanan estudyante mahina po internet sana iwasan pagiging mainitin ulo,0
hope listens students opinionsanswers time wants get exact words answers,0
please dont get mad students dont know answer questions,0
considerate comes slow internetdata connections every students cause leaving meet back,0
patient considerate students,0
saw discusses lessons comes answers questions needs accurate thinking expecting though meaning think reason maybe prepared something,0
sympathy approach students,0
always hurry discussing lesson understand,0
comments well feel like physical education simple straight forward thank sir,1
enhance quality outputppt,0
area improvement instructor demo teaching arnis,0
teaching,0
fastest connection outside class,0
active update students reply concerns,0
think little conflict comes time management,0
questions exams incomplete sentences responsive chats emails based remembered meet 45 synchronous class whole semester,0
improve teaching skills,0
attending classes regularly understand absence seminars least need meet professor important queries comprehension intended course subject thank,0
give time students,0
time attention,0
magkaroon passion trabaho sayang pinapasahod,0
communicate every students queries,0
attend class least discuss lesson dont rely yung subject matter students,0
think attitude need change easily irritate maybe age thats shes moody,0
much strict students students uncomfortable students feel uneasy scared answering question discussion hard convey ideas often angry students,0
even uses asynchronous session execute teachings aside synchronous sessions addition way socializes interacts class traumatizing tends mad times especially cases one classmates internet connection interrupted even mocks answers support opinion,0
attitude sometimes misleads us became root misunderstanding,0
powerpoint presentation controlling emotions,0
knowledgeable course lesson bad mood,0
laging galit meet,0
patient students internet connection reduce angry good reason,0
comes lesson palaging paulit ulit yung lesson nauulit 4 times every meetings,0
lessen bad mood minimize voice,0
tone voice less consideration internet connectivity,0
understanding toward unexpected situation poor internet connection,0
bawasan lang po yung pagiging strikto klase,0
discussion activity,0
hope stick schedule,0
take time discuss section topics use zoom gmeet sites,0
dont know areas improvement want meet schedule facebook live,0
time management conducting virtual meetings,0
considerate naman po kaso padin yung klase every time nya po,0
audio po himihina po maintindihan,0
solving po problem solution,0
tone voice medyo kaantok po kasi,0
theres nothing much,1
voice hes good professor monotone voice make feel sleepy specially afternoon classes,1
think voice audio,0
speaking voice time management,0
good even think weakness,1
lessen tricky question,0
lessen tricky question,0
examples problem solving,0
examples solving problem,0
provide sample problems,0
pressure every examination since practical performance,0
weakness teacher always wish,1
meetings di naririnig siguro nasa mic problema napipindot nita mute,0
using technology tools,0
try make discussion lessen reporting major subject,0
wala po,1
nothing improve best,1
wala naman po mabait si maam wala naman po akong napansin improve,1
time management meetings arrangements,0
think nothing needs improve,1
schedule,0
communicate students,0
time management po oras klase,0
think,1
announcement immediately class conflict schedule,0
bilis mag pasubmit video mahirap po yung pag aarnis need partner laging overtime nya mamaximize yung time things nacoconsume time nya,0
address concerns students provide possible answers lms quiz,0
please considerate especially giving quizzes activities pleasing personality well,0
communication consistency,0
lack consideration time quizes acitivities date supposed rest day students always close mind opinions correction clarity instruction always present resulting misunderstanding hope try listen students without blaming one sided reaction,0
malinaw instruction activity yung way po pagresponse concern po maganda,0
