label,sentence
1,"for me, wala naman na po masyado kasi nakakablend in siya sa aming mga students niya"
0,try something new that makes students be active in participating in class.
1,his performance is consistent and it is always outstanding.
1,nothing to improve.
0,i wish he had more acceptable reason when he made the class guess why he was wearing a red polo.
0,i think it is the way he present his lesson. a pot will do.
0,i can't think of any as for he did teach us well.
1,he always make us happy when he teach us.
1,"because he is sometimes more concentrated on a girl student than a boy, he pays no attention to the boys. but all in all he's a nice and good teacher"
1,"nothing, he is good at teaching"
1,he is very kind. he needs to be a little strict
1,for me there is no need for improvement.
0,give activities that are related to the lesson
0,by explaining the topic slowly and understandable
1,"honestly, the course was really interesting. plus the instructor is approachable and willing to answer queries. but i think there should be at least more power and emphasis when she speaks. i really love the way she deliver her explanation for the sake of learning and i would really love if she manages to make us more focused."
1,"nothing, as well that she good in teaching with us"
1,i can't think of any as for she did teach us well about the topics under the course.
1,she become more comfortable and give she always give us ger beautiful smile.
1,"wala po, overall good si ma'am sakin"
1,"she might be a bit overworked in class, leaving us unprepared for the following subject, but overall, she's a nice and knowledgeable teacher."
0,"i think she needs to summarize some of her lessons because some of those are too much for an hour. the rest, it's satisfactory."
0,"give activities that are related to the lesson, give more info about the topic (personal, i mean life lesson)"
1,nothing to improve.
1,"for me, there is no need for improvement."
1,for me is nothing
1,all goods naman po
1,he has a technique the way he present the lesson more effectively and efficiently.
0,giving learning materials on time.
1,expresses a desire to assist learners in their learning. invests time and effort in getting to know students and their needs
0,methods of discussing a lesson
0,"encourage cooperative learning.
"
0,attending in class
0,encourage cooperative learning.
1,"he use some sound effects in googlemeet, every after recitation he use handsclap effects that i think its useful enough to boost our confidence"
0,improve his loud voice when teaching
0,supporting ideas and example
0,minsan lang kami makapag g meet
1,"strong ability to motivate and inspire.
good initiative, and problem solving skills."
0,uploading learning material used in the lessons.
1,i would not comment anything about this subject because it's good for me.
0,early announcement if we are having online class.
1,"i think nothing, because we are active also in his class."
1,he used the students feedback about what we have learned about the topic.
0,methods of discussing a lesson
1,i think wala naman po kasi napaka ganda nya mag turo
1,none he's already good at everything
1,the course contributes to the students academic and personal growth
1,wala kong masabing para iimprove pa kasi magaling na sya
1,"i don't know what else he should improve because for me, the way he teaches is okay. maybe just a little improvement in the powerpoints he presents or gives."
1,"strong ability to motivate and inspire.
good initiative, and problem solving skills."
0,"during class discussion, he has a habit of speaking too quickly."
0,sir should give more examples such as videos for us to know more about the topics he's teaching.
1,"for me, there is no need to improve because his ways of teaching are enough for me. my only concern is that maybe he will have a synchronous class more often to help my classmates who are less in sync."
1,i think nothing because when we have a class in his subject we are happy listening to his lecture.
1,in terms of presenting the ppt or the lesson itself he has the technique on how we as a learner can easily adopt the topic
1,"i think, i don't have anything to say because he is really a good example of an instructor."
0,to have class at least once in a week
0,"encourage cooperative learning.
"
1,for me there is nothing to improve
0,improve her attending in class
1,"for me is nothing, because she can discuss her lesson very well and clear."
0,ang kailangan lang siguro maimprove ay yung mabagal mag turo
0,methods of discussing a lesson
0,sometimes the instructor only gives learning materials (instructional video) and not attending class.
1,wala naman po para sakin.
0,"like the other instructors, the areas of improvement of her was by presenting the topic, discussion, and providing lesson materials in lms"
1,encourages future learning by praising successful performance.
0,encourage cooperative learning.
1,bagalan lang po ng konti sa pag papaliwanag pero naiintindihan naman po.
0,"encourage cooperative learning.
communication"
1,"he use ppt presentation and also white board in terms of solving a certain problem, and we really appreciate his effort for this course"
0,to always be prepared.
0,"improve his communication skills, he is very fast talk and sometimes i can understand well his teaching because he is very fast. hehehe peace sir"
0,"maybe i can say is that must practice his way of explaining the topics. most of the time he becomes repetitive in explaining which results of slowing down and can't finish the module. also, it prevents us to proceed to another topic."
0,lakasan lang po niya ang boses habang nagtuturo
1,wala ako masabi na kailangan pa iimprove e
1,for me is nothing because when he discuss his lesson it was easy for me to cope up with his lesson.
0,i hope he has examples that we can understand better because sometimes his example is just like the ones in the files.
0,he gives instructions in a very confusing way.
0,sometime the instructor talks/explains fast and unclear.
0,i don't know since we haven't met the instructor
0,"ma'am should have more synchronous classes for us to get to know her more and she should give us our prelim, midterm, and finals examination."
0,interaction with the students
0,"i don't know what else she should improve since she hasn't even taught us in an online class, she just gave lessons and quizzes."
1,wala din ako masabi na kailangan iimprove e
0,the instructor needs to be present in each class. (does not attend any of our class)
0,encourage cooperative learning.
0,improve her attending in class
0,for me i think ma'am jessa need to meet us in our meet.
0,"all i can say is i am hoping the we will be able to meet her and see how she teaches. also, so that we can get to know better our new ite instructor."
0,"i dont know yet, but im still hoping to met her"
0,sorry for that but i don't improve my self in this subject
0,connection to students
1,"we often have classes for this course, we've never met him ever since the first day of finals and we really understand that. he's good, he discuss the lesson clearly and understandable."
0,sometime not present.
0,time for teaching
1,all goods naman po
0,encourage cooperative learning.
0,minsan lang din kami mag ka gmeet kaya di ko ganon ka kilala
0,he can be scary sometimes like he does not have the approachable look
0,interactions to students
1,for me is nothing
0,improve his attending in class
0,improve more his teaching
1,i think there is no areas for improvement because he has the ability for all.
1,more explaining the meaning of what we've discuss but it's all goods for me.
0,encourage cooperative learning.
1,"for me nothing, because we are active to his class and it was easy to cope up to his lesson."
1,i think it's alright
1,"wala din ako masabi e,siguro yung mabagal lang mag turo"
0,"in terms of presentation, sometimes his presentation was the module exactly. he didn't make a powerpoint for us to understand the lesson easily, but sometimes he did."
1,none that i can say anything
1,"strong ability to motivate and inspire.
good initiative, and problem solving skills."
0,slow down when teaching.
0,the way he discuss the lesson
0,"in terms of presenting the lecture , the way he discuss the topic, and providing lesson materials every after the lecture."
0,more engagement of the students in class
0,"time management, i really want to watch/listen to the live discussion."
0,they should follow the schedule given to them. it is unwise to hold a class at night wherein it could be the only rest for the students from their school works and household duties.
0,he is discussing the lesson at a late time that's why he needs to improve it.
0,i hope he can teach on time.
0,follow the allotted time to teach. it is not good to go live in the middle of the night to discuss his lecture. use the lms instead of google classroom.
0,the only thing he needs to improve was his class hours in teaching us the subject because i believe that we can have a healthy discussion if ever he has a lot of time for us.
0,method of discussing a lesson
0,masyado lang din syang matagal mag turo
1,i think none. she's really great.
1,konting pang pasigla lang po ma'am minsan po inaantok ako pero baka po dahil sakin. pero all goods naman po
1,recognizes when the class is confused.
1,"when she presenting and discuss the lesson in effective way of teaching, understandable and considerate to the situation of the learners itself."
0,encourage cooperative learning.
0,"her teaching strategy in terms of teaching, because sometimes i feel sleepy"
1,"for me nothing, because she explain what we need to know in her subject."
0,it is difficult on reaching him whenever we have concern regarding the activities he gives.
1,focus on how student understand easily the topic
1,i have nothing to say so far
1,there's no more i could suggest because he teaches well and he's also kind and approachable that students wouldn't feel so intimidated
1,"it takes about three hours to complete the class. students are not more engaged in the middle of a talk. throughout the online meeting, the instructor should find a way to keep the students engaged."
0,he need to communicate to the student more and teach us more.
0,he need to communicate to us more.
1,nothing he is doing a good job.
1,there's nothing i could recommend
1,nothing to say so far
1,elaborate more the lesson to easily understand by the students
0,"she need to let us know some things that we need to know. moreover, she doesn't need to pressure the students too much. also, she should understand us."
0,"she needs to improve her quizzes/assessment because questions couldn't be able to answer by anyone. for example the question would be like ""200%"" in identification form how is it even related to our topic. she also needs to be consistent in giving instructions because once we are done she would change the instruction making our efforts go in waste. she should also be approachable when students have concerns and shouldn't be mad. she should also consider that lms is very technical that's why they may be answers that are right but lms marked it as wrong."
0,i think she should avoid full identification quiz in lms because it affects the score of her students since lms is very sensitive in students answer.
0,"i hope that there are more room for correct answers on the quizzes and exams. another thing is that there should be proper instructions prior to the technicalities and questions of the exams. also, i hope that next time, there should be no activities when it's not the indicated classes hours especially on sundays."
0,sometimes her instruction is quite confusing
0,the instructor should create quizzes and assessments that are related to the topics covered in each lesson.
0,open some time beyond the given time for the learners questions
0,"time of uploading activities. i hope that next time, all activities for midterm would not be uploaded simultaneously when the midterm is about to finish."
0,the instructor needs to conduct class frequently so that her students wouldn't be so shocked when lots of activities are being uploaded in the lms. there's also redundancy in the activities.
0,"this instructor needs to teach her students more and not just give activity without teaching. moreover, she need to communicate with us well so we won't get lost."
0,she needs to avoid skipping the synchronous class
0,"we rarely meet her in online class, she should provide time to meet and discuss her lesson."
0,"although the instructor establishes communication with the students after every class, i think it would be better if he asks students' opinion throughout the lesson so that students wouldn't be bored by just listening to their instructor. it should be also learner-centered"
0,"during online classes, the instructor is usually the only one who speaks, and students may only speak when called upon or if they are familiar with the subject. i believe that teacher-student interaction should be improved in class. the instructor should figure out how to get his students to participate in class."
1,nothing to say so far
0,he should provide extra effort to meet his students in online class so that we will have an enough time to discuss the lessons properly but
0,avoid giving exams too late.
0,"he needs to improve his skill in communicating with students well. he was good but he needs to open up to his student. moreover, he need to tone down his expectations towards the students because we are not perfect and we are just learning."
0,more visual aids to show for some student are visual learners
0,be available and answer the question of the learners
1,"i like the way she taught us. she's a good teacher, easy to understand."
0,sometimes the instruction she gives is not clear.
1,there's nothing i could suggest. she's very good
0,there should be more in depth discussion about the topics
0,she should improve her digital skills so we wouldn't confused about where should we take our exam.
0,he needs to communicate to his students more.
1,nothing he is doing a good job.
0,i think sometimes he should avoid giving a too mush deductions on activities especially if its just the font of the papers since it was hard to follow the given fonts if i only have cell phone to edit my works but rather rely the scores with the content of the activity.
1,nothing so far.
0,more focus on how the student learner understand the topic
1,"the instructor is good and his activities are easy to do aside from the major activity which is hard to do because not all students have the talent to draw. but in general, he is a good instructor"
1,"i don't see anything that could be improved. the class was always interesting, and all of the students participated in every activity. the instructor is also approachable and patient."
1,nothing so far
1,"i don't see anything that could be improved. everything went smoothly during class. the topic is always interesting, and the students are always engaged. the instructor is approachable and considerate."
0,she should teach us more.
1,i think there is no improvement i could recommend since she teaches so well
0,focus on how student easily understand the topic
1,nothing she is doing a good job.
1,i think she has nothing to improve because she can do her work properly.
1,no more she is perfect
1,i couldn't think of any recommendations because she's already good
0,she need to communicate to us more and also teach us often.
0,there should be more discussion
1,nothing she is doing her job well.
1,"i have no comments because i really like the fact that they checked up on us before they start the class. thank you so much, ma'am for understanding and making the class comfortable. i really appreciate you."
0,she is late in the discussion like for example we are in midterms but the lesson is in prelims and i understand it.
